GEOID,perc_hs_grad_2016
17031010100,20.4
17031010201,21.3
17031010202,20.6
17031010300,21.8
17031010400,15.5
17031010501,13.1
17031010502,7.9
17031010503,26.4
17031010600,19.2
17031010701,20
17031010702,16.1
17031020100,21.5
17031020200,15
17031020301,14.4
17031020302,17.7
17031020400,21.8
17031020500,25.1
17031020601,27
17031020602,20.3
17031020701,21.5
17031020702,26.2
17031020801,17.9
17031020802,27.5
17031020901,21.6
17031020902,34.4
17031030101,16
17031030102,16.4
17031030103,13.4
17031030104,20.3
17031030200,11.1
17031030300,21.1
17031030400,16.5
17031030500,13
17031030601,20.1
17031030603,22.7
17031030604,17.3
17031030701,12.7
17031030702,6.7
17031030703,7.2
17031030706,20.3
17031030800,9.7
17031030900,8.9
17031031000,9.7
17031031100,12.6
17031031200,27.2
17031031300,20.4
17031031400,6.8
17031031501,22
17031031502,24
17031031700,18
17031031800,11
17031031900,5.1
17031032100,14
17031040100,11.6
17031040201,10.7
17031040202,21.3
17031040300,12.2
17031040401,11.7
17031040402,8
17031040600,7.8
17031040700,10.7
17031040800,8.8
17031040900,3.7
17031050100,9.3
17031050200,12.6
17031050300,12.7
17031050500,10.9
17031050600,9.1
17031050700,4.4
17031050800,7.9
17031050900,7.5
17031051000,10.2
17031051100,12
17031051200,5.1
17031051300,3.8
17031051400,8
17031060100,5.4
17031060200,7.9
17031060300,5.6
17031060400,10
17031060500,17.2
17031060800,6.1
17031060900,9.1
17031061000,5.3
17031061100,1.8
17031061200,2.6
17031061500,3.7
17031061800,9.2
17031061901,4.8
17031061902,4.7
17031062000,8.4
17031062100,6.4
17031062200,7.9
17031062300,5.1
17031062400,3.1
17031062500,2.9
17031062600,4.7
17031062700,3.8
17031062800,3.8
17031062900,3.8
17031063000,1.8
17031063100,5
17031063200,5.3
17031063301,11.4
17031063302,4.2
17031063303,8.2
17031063400,2.4
17031070101,3.9
17031070102,5.5
17031070103,1.3
17031070200,5.1
17031070300,4
17031070400,12.9
17031070500,11.9
17031070600,1.7
17031070700,10
17031071000,3.6
17031071100,2.4
17031071200,4.7
17031071300,0.5
17031071400,7.2
17031071500,4.2
17031071600,3.5
17031071700,7.2
17031071800,7.7
17031080100,5.5
17031080201,9.8
17031080202,1.8
17031080300,2.4
17031080400,13.4
17031081000,8.9
17031081100,3.1
17031081201,2.1
17031081202,5.9
17031081300,2.9
17031081401,4.7
17031081402,1.6
17031081403,4.9
17031081500,6.4
17031081600,3.7
17031081700,2.9
17031081800,2.5
17031081900,12.3
17031090100,21.1
17031090200,20.7
17031090300,20.2
17031100100,22.4
17031100200,30.5
17031100300,25.9
17031100400,15.4
17031100500,22.6
17031100600,30.9
17031100700,27.7
17031110100,21.9
17031110200,29.4
17031110300,27.8
17031110400,32.2
17031110501,21.7
17031110502,24.8
17031120100,11.5
17031120200,15.7
17031120300,13.4
17031120400,19
17031130100,27
17031130200,9.6
17031130300,17.4
17031140100,19.7
17031140200,23.5
17031140301,19.4
17031140302,25.5
17031140400,25.8
17031140500,28.4
17031140601,24.6
17031140602,31.1
17031140701,23.9
17031140702,20.1
17031140800,21.2
17031150200,21.5
17031150300,28.7
17031150401,36.4
17031150402,31.9
17031150501,27.2
17031150502,25.5
17031150600,36.6
17031150700,29.5
17031150800,20.5
17031151001,28.9
17031151002,28.9
17031151100,31.9
17031151200,36.4
17031160100,27.9
17031160200,13.6
17031160300,21.3
17031160400,21.8
17031160501,23.9
17031160502,24.5
17031160601,12.3
17031160602,20.5
17031160700,20.7
17031160800,21.5
17031160900,15.8
17031161000,19.8
17031161100,17
17031161200,29.1
17031161300,36.9
17031170100,28.5
17031170200,26.4
17031170300,35.6
17031170400,32.7
17031170500,31.2
17031170600,30.8
17031170700,37.5
17031170800,33
17031170900,41.4
17031171000,30.9
17031171100,33.2
17031180100,28.1
17031190100,29.8
17031190200,25.2
17031190300,34.8
17031190401,29
17031190402,35.5
17031190601,31.3
17031190602,29.5
17031190701,31.8
17031190702,24.4
17031190800,32.9
17031190900,30.8
17031191000,24.4
17031191100,32.6
17031191200,21.2
17031191301,28
17031191302,32.3
17031200100,25.4
17031200200,35
17031200300,21.7
17031200401,19
17031200402,20.8
17031210100,19.2
17031210400,27.6
17031210501,22.3
17031210502,30.8
17031210601,20.2
17031210602,27.5
17031210700,26.6
17031210800,26.5
17031210900,25.8
17031220300,9.9
17031220400,15.1
17031220500,14.2
17031220601,15
17031220602,22.1
17031220701,34.8
17031220702,23.7
17031220901,32.6
17031220902,40.6
17031221000,26.4
17031221100,25.1
17031221200,19.6
17031221300,11.4
17031221400,18.4
17031221500,18.4
17031221600,9.6
17031222200,4.5
17031222500,34.6
17031222600,19.8
17031222700,30.1
17031222800,33.3
17031222900,28.1
17031230100,20.4
17031230200,29
17031230300,32.4
17031230400,23.5
17031230500,33.3
17031230600,37.5
17031230700,34.4
17031230800,31.6
17031230900,27.1
17031231100,46.6
17031231200,26.5
17031231500,37.4
17031240200,14.7
17031240300,4.2
17031240500,4.5
17031240600,14
17031240700,21.9
17031240800,25.3
17031240900,24.8
17031241000,21.9
17031241100,14.6
17031241200,8.1
17031241300,12.4
17031241400,3.6
17031241500,5.1
17031241600,5
17031242000,12.6
17031242100,8.4
17031242200,9.4
17031242300,5.9
17031242400,7.3
17031242500,12.5
17031242600,12.1
17031242700,16.6
17031242800,24.3
17031242900,21
17031243000,19.2
17031243100,11.6
17031243200,10.3
17031243300,15.6
17031243400,13.5
17031243500,8.8
17031250200,35.7
17031250300,38.3
17031250400,32.3
17031250500,21.8
17031250600,35
17031250700,41.9
17031250800,44
17031251000,56.8
17031251100,45.9
17031251200,34.2
17031251300,42.8
17031251400,26.3
17031251500,42.4
17031251600,35.8
17031251700,31.6
17031251800,42.3
17031251900,34.1
17031252000,40.7
17031252101,33.8
17031252102,41.6
17031252201,33.6
17031252202,33.4
17031260100,34.9
17031260200,38.9
17031260300,37.2
17031260400,40.1
17031260500,40.7
17031260600,35.7
17031260700,31.9
17031260800,42.6
17031260900,43.2
17031261000,32.6
17031270500,32.4
17031271200,36.4
17031271300,38.1
17031271400,28.5
17031271500,30.6
17031271800,63.2
17031280100,3.5
17031280400,35.3
17031280800,22.8
17031280900,17.8
17031281900,4.1
17031282700,18.5
17031282800,15.2
17031283100,12.2
17031283200,15.4
17031283800,11.9
17031290900,34.1
17031291200,33.6
17031291600,15.9
17031292200,35
17031292400,31
17031292500,30
17031300500,23.8
17031300600,18.7
17031300700,17.2
17031300800,24.5
17031300900,24.3
17031301100,26.4
17031301200,24.8
17031301600,25
17031301701,28.9
17031301702,34.7
17031301801,32.7
17031301802,32.4
17031301803,33
17031310200,15.5
17031310300,17.4
17031310400,9.3
17031310500,41.3
17031310600,18
17031310700,32.4
17031310800,18.1
17031310900,18.7
17031320100,5.8
17031320400,2.4
17031320600,3.4
17031330100,5.1
17031330200,9.9
17031340300,33.4
17031340400,40.2
17031340500,20.9
17031340600,20.5
17031350100,6.9
17031350400,36.4
17031351000,12.7
17031351100,27.4
17031351400,38.2
17031351500,26.6
17031360200,23.4
17031380100,13.4
17031380200,25
17031380500,29.1
17031380700,35.9
17031381200,18.8
17031381400,26.1
17031381500,26.5
17031381700,-
17031381800,27.6
17031381900,19.1
17031390100,16.3
17031390200,10.6
17031390300,22
17031390400,17.9
17031390500,10
17031390600,6.3
17031390700,6.9
17031400300,23.5
17031400400,23.2
17031400500,26.7
17031400800,32.6
17031410100,8.9
17031410200,5.9
17031410500,9.9
17031410600,9.9
17031410700,8.1
17031410800,11.7
17031410900,6
17031411000,2.9
17031411100,0.7
17031411200,2.2
17031420100,21.7
17031420200,15.1
17031420300,16
17031420400,12.6
17031420500,22.6
17031420600,32.6
17031420700,27.2
17031420800,26.2
17031421200,24.3
17031430101,23.3
17031430102,22.3
17031430200,22.7
17031430300,31.2
17031430400,24.8
17031430500,27.5
17031430600,23.8
17031430700,20.9
17031430800,21.1
17031430900,15.6
17031431200,26.1
17031431301,29.8
17031431302,33.2
17031431400,30.4
17031440101,37.2
17031440102,32.9
17031440201,30.3
17031440202,17.6
17031440300,24.5
17031440600,27.5
17031440700,32
17031440800,34.4
17031440900,31.8
17031450300,20
17031460100,37
17031460200,29.9
17031460301,35.8
17031460302,33
17031460400,34.4
17031460500,25.5
17031460600,30.8
17031460700,26.6
17031461000,26.7
17031470100,28.5
17031480100,23.2
17031480200,18.7
17031480300,19.8
17031480400,26.8
17031480500,33.5
17031490300,13.7
17031490400,23.5
17031490500,13.6
17031490600,22.8
17031490700,25.7
17031490800,17.8
17031490901,25.3
17031490902,23.9
17031491000,30.2
17031491100,23.4
17031491200,33
17031491300,27.8
17031491400,34.8
17031500100,26.8
17031500200,28.5
17031500300,19.5
17031510100,29.6
17031510200,34.6
17031510300,34.2
17031520100,40.9
17031520200,32.9
17031520300,28.4
17031520400,39.5
17031520500,33
17031520600,37.4
17031530100,34.9
17031530200,38.2
17031530300,24.5
17031530400,24.3
17031530501,36
17031530502,23.3
17031530503,29.1
17031530600,34.5
17031540101,26.6
17031540102,26.5
17031550100,34.6
17031550200,38.1
17031560100,39.8
17031560200,32.1
17031560300,28.1
17031560400,24.5
17031560700,32.8
17031560800,30.9
17031560900,32.1
17031561000,20
17031561100,33.4
17031570100,35.3
17031570200,31.7
17031570300,35.1
17031570400,38.5
17031570500,37.2
17031580100,33.4
17031580200,29.4
17031580300,21.4
17031580400,40
17031580501,34.1
17031580502,30.7
17031580600,20.7
17031580700,31
17031580800,34.1
17031590500,23.8
17031590600,31.3
17031590700,23.1
