GEOID,median_monthly_housing_costs_2017
17031381700,-
17031381800,1054
17031381900,1121
17031390100,1571
17031390200,1674
17031390300,728
17031390400,847
17031390500,1265
17031390600,1341
17031390700,1318
17031400300,1092
17031400400,1048
17031400500,912
17031400800,798
17031410100,1114
17031410200,1057
17031410500,1323
17031410600,1225
17031410700,1203
17031410800,1018
17031410900,1213
17031411000,1146
17031411100,1487
17031411200,1502
17031420100,837
17031420200,1094
17031420300,1073
17031420400,910
17031420500,950
17031420600,872
17031420700,1036
17031420800,1142
17031421200,692
17031430101,915
17031430102,762
17031430200,908
17031430300,991
17031430400,1008
17031430500,835
17031430600,944
17031430700,915
17031430800,1283
17031430900,923
17031431200,1213
17031431301,852
17031431302,846
17031431400,908
17031440101,788
17031440102,859
17031440201,894
17031440202,833
17031440300,1028
17031440600,1033
17031440700,1094
17031440800,849
17031440900,952
17031450300,1161
17031460100,879
17031460200,707
17031460301,1031
17031460302,869
17031460400,992
17031460500,930
17031460600,846
17031460700,671
17031461000,441
17031470100,1014
17031480100,1116
17031480200,1052
17031480300,870
17031480400,982
17031480500,1025
17031490300,1094
17031490400,1092
17031490500,1204
17031490600,1211
17031490700,1077
17031490800,1041
17031490901,845
17031490902,973
17031491000,1025
17031491100,993
17031491200,1087
17031491300,975
17031491400,927
17031500100,954
17031500200,835
17031500300,851
17031510100,709
17031510200,994
17031510300,937
17031520100,713
17031520200,743
17031520300,902
17031520400,871
17031520500,794
17031520600,983
17031530100,671
17031530200,971
17031530300,1039
17031530400,928
17031530501,908
17031530502,1033
17031530503,1098
17031530600,1059
17031540101,379
17031540102,466
17031550100,822
17031550200,643
17031560100,1136
17031560200,741
17031560300,1264
17031560400,1317
17031560700,932
17031560800,960
17031560900,1294
17031561000,1481
17031561100,1319
17031570100,985
17031570200,790
17031570300,960
17031570400,941
17031570500,971
17031580100,1064
17031580200,868
17031580300,910
17031580400,886
17031580501,874
17031580502,871
17031580600,875
17031580700,869
17031580800,911
17031590500,1006
17031590600,967
17031590700,932
17031600400,895
17031600600,893
17031600700,1070
17031600900,910
17031610300,773
17031610400,745
17031610800,973
17031611000,715
17031611100,700
17031611200,745
17031611300,748
17031611400,749
17031611500,733
17031611600,672
17031611700,838
17031611800,876
17031611900,872
17031612000,861
17031612100,878
17031620100,1029
17031620200,986
17031620300,1168
17031620400,1326
17031630100,758
17031630200,775
17031630300,1046
17031630400,892
17031630500,902
17031630800,1018
17031630900,994
17031640100,1105
17031640300,1049
17031640400,1052
17031640500,999
17031640600,971
17031640700,1080
17031640800,1164
17031650100,892
17031650200,1018
17031650301,1327
17031650302,1222
17031650400,1167
17031650500,1137
17031660301,789
17031660302,909
17031660400,945
17031660500,844
17031660600,889
17031660700,929
17031660800,948
17031660900,1045
17031661000,928
17031661100,1209
17031670100,627
17031670200,762
17031670300,716
17031670400,933
17031670500,926
17031670600,632
17031670700,906
17031670800,771
17031670900,853
17031671100,828
17031671200,997
17031671300,840
17031671400,641
17031671500,792
17031671600,743
17031671800,1032
17031671900,836
17031672000,1008
17031680500,906
17031680600,834
17031680900,628
17031681000,772
17031681100,1045
17031681200,866
17031681300,870
17031681400,913
17031690300,716
17031690400,925
17031690500,908
17031690900,914
17031691000,1036
17031691100,899
17031691200,1007
17031691300,919
17031691400,945
17031691500,849
17031700100,1291
17031700200,1282
17031700301,1276
17031700302,1318
17031700401,1430
17031700402,1325
17031700501,1365
17031700502,1443
17031710100,686
17031710200,921
17031710300,970
17031710400,964
17031710500,908
17031710600,866
17031710700,764
17031710800,889
17031710900,865
17031711000,806
17031711100,881
17031711200,977
17031711300,977
17031711400,853
17031711500,1051
17031720100,1678
17031720200,978
17031720300,2013
17031720400,1556
17031720500,1270
17031720600,1800
17031720700,1062
17031730100,1003
17031730201,886
17031730202,1272
17031730300,1118
17031730400,1347
17031730500,955
17031730600,935
17031730700,981
17031740100,1487
17031740200,1404
17031740300,1614
17031740400,1306
17031750100,892
17031750200,1260
17031750300,1282
17031750400,1332
17031750500,1143
17031750600,1023
17031760801,1097
17031760802,927
17031760803,1000
17031770201,1179
17031770202,1136
17031770300,1341
17031770400,1158
17031770500,837
17031770601,1385
17031770602,960
17031770700,1027
17031770800,1132
17031770901,1304
17031770902,1108
17031800100,3810
17031800200,2773
17031800300,2674
17031800400,3469
17031800500,3578
17031800600,3392
17031800700,2851
17031800800,1482
17031800900,1893
17031801000,2116
17031801100,2588
17031801200,2668
17031801300,2292
17031801400,2287
17031801500,1551
17031801601,1747
17031801603,1203
17031801605,1678
17031801606,1703
17031801607,1594
17031801608,1884
17031801701,2634
17031801702,2062
17031801800,2297
17031801901,1571
17031801902,2138
17031802002,1819
17031802003,1400
17031802004,1110
17031802100,2075
17031802200,1888
17031802300,2227
17031802402,1144
17031802403,1217
17031802404,1221
17031802503,1290
17031802504,1280
17031802505,1027
17031802506,1205
17031802605,1462
17031802607,1852
17031802608,1100
17031802609,1055
17031802610,1398
17031802701,1454
17031802702,1412
17031802801,1381
17031802802,1633
17031802900,1740
17031803005,1366
17031803007,1626
17031803008,1467
17031803010,1460
17031803012,1299
17031803013,1273
17031803014,1259
17031803015,1320
17031803016,1489
17031803017,1435
17031803100,1974
17031803200,1456
17031803300,1382
17031803400,2030
17031803500,1816
17031803603,2188
17031803604,1216
17031803605,1360
17031803606,1050
17031803607,1753
17031803608,1434
17031803610,1398
17031803611,1145
17031803612,1095
17031803701,1227
17031803702,1725
17031803800,1603
17031803901,1158
17031803902,1470
17031804000,1371
17031804102,2185
17031804104,1936
17031804105,2104
17031804106,1700
17031804108,1327
17031804109,1430
17031804201,2616
17031804202,1861
17031804305,1317
17031804306,1316
17031804308,1434
17031804309,1541
17031804310,1510
17031804311,1669
17031804403,1393
17031804404,1427
17031804405,993
17031804406,1325
17031804505,1313
17031804506,1922
17031804507,1824
17031804508,1285
17031804509,1455
17031804510,1412
17031804511,1138
17031804603,1283
17031804606,1755
17031804607,1669
17031804608,1485
17031804609,1534
17031804610,1268
17031804611,1303
17031804701,1262
17031804705,1192
17031804706,1759
17031804709,1235
17031804710,1330
17031804711,1268
17031804712,1552
17031804713,1275
17031804714,1536
17031804715,968
17031804716,1648
17031804803,1428
17031804804,1373
17031804805,1440
17031804806,1453
17031804807,1430
17031804808,1662
17031804809,1578
17031804810,1180
17031804901,1543
17031804902,1587
17031805001,1765
17031805002,994
17031805105,1207
17031805106,1194
17031805107,1079
17031805108,1158
17031805109,1441
17031805110,1448
17031805111,1028
17031805112,1148
17031805201,1388
17031805202,1582
17031805301,995
17031805302,1339
17031805401,1171
17031805402,1226
17031805501,1906
17031805502,1779
17031805600,2046
17031805701,1519
17031805702,1810
17031805801,1527
17031805802,1498
17031805901,1507
17031805902,1473
17031806001,1060
17031806002,1056
17031806003,1341
17031806004,1014
17031806102,1319
17031806103,1391
17031806104,999
17031806201,1151
17031806202,967
17031806300,1482
17031806400,1613
17031806501,1019
17031806502,1269
17031806600,1506
17031806700,1952
17031806801,1260
17031806802,1284
17031806900,1278
17031807000,1128
17031807100,1792
17031807200,1432
17031807300,1233
17031807400,1242
17031807500,1556
17031807600,1294
17031807700,1143
17031807800,2058
17031807900,1770
17031808001,1814
17031808002,1750
17031808100,1028
17031808200,1305
17031808301,1360
17031808302,1238
17031808400,1643
17031808500,1593
17031808600,2255
17031808702,1021
17031808800,1880
17031808900,1876
17031809000,2597
17031809100,1914
17031809200,1287
17031809300,1575
17031809400,1684
17031809500,1578
17031809600,1689
17031809700,1660
17031809800,1377
17031809900,1989
17031810000,1549
17031810100,1274
17031810200,1228
17031810301,1435
17031810302,1467
17031810400,1839
17031810501,1056
17031810502,964
17031810600,977
17031810701,1124
17031810702,924
17031810800,1420
17031810900,1221
17031811000,1517
17031811100,917
17031811200,1423
17031811301,1282
17031811302,938
17031811401,1326
17031811402,1330
17031811500,1412
17031811600,928
17031811701,794
17031811702,921
17031811800,1502
17031811900,2405
17031812000,1670
17031812100,2098
17031812200,2813
17031812301,1657
17031812302,1684
17031812400,2891
17031812500,1129
17031812600,1124
17031812700,1333
17031812801,1148
17031812802,1188
17031812900,1990
17031813000,1675
17031813100,1617
17031813200,1834
17031813301,855
17031813302,932
17031813400,1092
17031813500,970
17031813600,942
17031813701,956
17031813702,964
17031813801,927
17031813802,856
17031813900,992
17031814000,937
17031814100,926
17031814200,893
17031814300,958
17031814400,1035
17031814500,1106
17031814600,1069
17031814700,1246
17031814800,974
17031814900,1005
17031815000,1129
17031815100,1249
17031815200,951
17031815300,1398
17031815400,1036
17031815500,1302
17031815600,1024
17031815701,1996
17031815702,1601
17031815800,1197
17031815900,979
17031816000,1303
17031816100,1170
17031816200,1037
17031816300,1215
17031816401,1009
17031816402,997
17031816500,791
17031816600,1026
17031816700,1025
17031816800,1332
17031816900,1225
17031817000,1216
17031817101,1063
17031817102,1256
17031817200,1128
17031817300,984
17031817400,1165
17031817500,834
17031817600,1103
17031817700,1071
17031817900,942
17031818000,999
17031818100,1444
17031818200,1488
17031818300,1135
17031818401,1361
17031818402,1232
17031818500,1293
17031818600,996
17031818700,1536
17031818800,1358
17031818900,1233
17031819000,2439
17031819100,1037
17031819200,1206
17031819300,1380
17031819400,1141
17031819500,1310
17031819600,2254
17031819700,2697
17031819801,2366
17031819802,2021
17031819900,2227
17031820000,3280
17031820101,1501
17031820103,1224
17031820104,1068
17031820201,1413
17031820202,879
17031820300,1058
17031820400,930
17031820501,1253
17031820502,1127
17031820603,1141
17031820604,928
17031820605,1013
17031820606,1357
17031820700,1171
17031820800,1234
17031820901,987
17031820902,1205
17031821001,934
17031821002,1069
17031821101,1064
17031821102,1239
17031821200,797
17031821300,834
17031821401,1090
17031821402,1083
17031821500,966
17031821600,1261
17031821700,1381
17031821800,1276
17031821900,1450
17031822000,1030
17031822101,1257
17031822102,884
17031822200,1533
17031822301,1079
17031822302,1080
17031822400,1056
17031822500,1267
17031822601,1329
17031822602,1174
17031822701,951
17031822702,984
17031822801,960
17031822802,1207
17031822900,1100
17031823001,978
17031823002,1008
17031823101,1097
17031823102,905
17031823200,1121
17031823302,994
17031823303,1204
17031823304,972
17031823400,933
17031823500,1030
17031823602,954
17031823603,806
17031823604,1541
17031823605,1250
17031823702,1064
17031823703,928
17031823704,1630
17031823705,973
17031823801,1817
17031823803,1269
17031823805,860
17031823806,887
17031823901,1715
17031823903,1388
17031823904,1384
17031824003,1424
17031824004,1418
17031824005,1652
17031824006,1927
17031824105,1323
17031824106,1295
17031824107,1337
17031824108,1491
17031824113,1937
17031824114,1781
17031824115,1172
17031824116,1198
17031824117,1677
17031824119,1332
17031824120,1387
17031824121,1366
17031824122,1362
17031824123,1271
17031824300,766
17031824400,866
17031824503,1044
17031824505,1178
17031824506,1250
17031824507,1212
17031824601,1373
17031824602,1109
17031824701,1250
17031824702,1116
17031824800,977
17031824900,905
17031825000,1064
17031825200,1359
17031825302,1296
17031825303,1285
17031825304,1215
17031825400,1288
17031825501,1265
17031825503,1375
17031825504,1179
17031825505,1410
17031825600,988
17031825700,960
17031825801,936
17031825802,1296
17031825803,978
17031825900,920
17031826000,896
17031826100,1108
17031826201,848
17031826202,988
17031826301,1288
17031826303,1328
17031826304,1022
17031826401,1224
17031826402,1228
17031826500,1135
17031826600,1048
17031826700,888
17031826800,832
17031826901,738
17031826902,639
17031827000,910
17031827100,744
17031827200,908
17031827300,687
17031827400,680
17031827500,865
17031827600,999
17031827700,1088
17031827801,1330
17031827802,1343
17031827804,1692
17031827805,1409
17031827901,1932
17031827902,1052
17031828000,1078
17031828100,956
17031828201,1054
17031828202,955
17031828300,907
17031828401,1291
17031828402,992
17031828503,895
17031828504,1126
17031828505,1210
17031828506,1012
17031828601,1273
17031828602,1614
17031828701,1188
17031828702,1169
17031828801,1418
17031828802,1156
17031828900,938
17031829000,685
17031829100,808
17031829200,910
17031829301,1206
17031829302,867
17031829401,954
17031829402,639
17031829500,889
17031829600,843
17031829700,825
17031829800,1692
17031829901,1347
17031829902,1344
17031830001,754
17031830003,1615
17031830004,1690
17031830005,2015
17031830006,1156
17031830007,1104
17031830008,1712
17031830100,1464
17031830201,1184
17031830202,1495
17031830300,872
17031830400,1086
17031830500,943
17031830600,1037
17031830700,861
17031830800,1214
17031830900,1835
17031831000,2471
17031831100,1138
17031831200,1088
17031831300,1002
17031831400,979
17031831500,1264
17031831600,1057
17031831700,1230
17031831800,1144
17031831900,2004
17031832000,1991
17031832100,1358
17031832200,1567
17031832300,2017
17031832400,1658
17031832500,2103
17031832600,2275
17031832900,1589
17031833000,2214
17031833100,2048
17031833300,1625
17031833900,796
17031834000,1072
17031834200,904
17031834300,985
17031834400,1304
17031834500,981
17031834600,859
17031834700,855
17031834800,714
17031834900,798
17031835000,905
17031835100,1056
17031835200,846
17031835500,554
17031835600,699
17031835700,745
17031835800,1323
17031835900,790
17031836000,1324
17031836100,1036
17031836200,1262
17031836300,1193
17031836400,811
17031836500,809
17031836600,1077
17031836700,890
17031836800,851
17031836900,845
17031837000,939
17031837100,940
17031837300,986
17031837400,970
17031837800,1302
17031838000,633
17031838100,590
17031838200,976
17031838300,1335
17031838600,733
17031838700,979
17031838800,503
17031839000,1857
17031839100,1856
17031839200,975
17031839500,823
17031839600,1223
17031839700,971
17031839800,990
17031839900,1119
17031840000,1329
17031840100,856
17031840200,1047
17031840300,995
17031840400,845
17031840700,845
17031840800,779
17031841000,2014
17031841100,834
17031841200,891
17031841300,837
17031841400,1093
17031841500,1034
17031841600,1139
17031841700,674
17031841800,930
17031841900,2003
17031842000,1829
17031842100,934
17031842200,2056
17031842300,2059
17031842400,808
17031842500,391
17031842600,1126
17031842800,987
17031842900,618
17031843000,879
17031843100,995
17031843200,885
17031843300,961
17031843400,624
17031843500,757
17031843600,1095
17031843700,1575
17031843800,1232
17031843900,1008
17031980000,-
17031980100,-
17031990000,-
