GEOID,perc_below_poverty_2016
17031010100,35.4
17031010201,35.3
17031010202,23.2
17031010300,17.5
17031010400,17.6
17031010501,20.3
17031010502,38.7
17031010503,46.6
17031010600,17.4
17031010701,15.5
17031010702,36.3
17031020100,21.6
17031020200,20.9
17031020301,9.3
17031020302,16.6
17031020400,21.2
17031020500,29.1
17031020601,25.2
17031020602,30.7
17031020701,12.5
17031020702,22.4
17031020801,18.2
17031020802,29
17031020901,32.1
17031020902,25.4
17031030101,14.2
17031030102,13
17031030103,22.9
17031030104,28.8
17031030200,13.1
17031030300,22.1
17031030400,23.8
17031030500,14.2
17031030601,19.5
17031030603,29.1
17031030604,22.9
17031030701,23.8
17031030702,9.9
17031030703,18.6
17031030706,26.4
17031030800,6.5
17031030900,7.9
17031031000,6.3
17031031100,10
17031031200,32.7
17031031300,24.7
17031031400,10.5
17031031501,46
17031031502,28.4
17031031700,33.8
17031031800,15.7
17031031900,16.8
17031032100,18.9
17031040100,11.8
17031040201,11.4
17031040202,24.5
17031040300,4.2
17031040401,7.3
17031040402,8.1
17031040600,8.6
17031040700,12.8
17031040800,6.6
17031040900,6.1
17031050100,4.5
17031050200,3.5
17031050300,10.5
17031050500,3
17031050600,8.2
17031050700,3.4
17031050800,5.8
17031050900,6.6
17031051000,6
17031051100,4.6
17031051200,4.6
17031051300,1.8
17031051400,9.5
17031060100,5.4
17031060200,16.3
17031060300,1.4
17031060400,9.6
17031060500,24.5
17031060800,5.6
17031060900,7.7
17031061000,10.8
17031061100,9.5
17031061200,10.5
17031061500,4.8
17031061800,15.3
17031061901,8.5
17031061902,13.1
17031062000,9.7
17031062100,16.7
17031062200,10
17031062300,3.4
17031062400,3.8
17031062500,7.1
17031062600,0.6
17031062700,13
17031062800,4.1
17031062900,8.9
17031063000,11.5
17031063100,7.9
17031063200,13.4
17031063301,20.3
17031063302,8.8
17031063303,4.9
17031063400,11.6
17031070101,11.1
17031070102,9.6
17031070103,15.9
17031070200,13.7
17031070300,15.8
17031070400,11
17031070500,5.7
17031070600,2.8
17031070700,14.2
17031071000,11.6
17031071100,13.5
17031071200,12
17031071300,10.1
17031071400,15.8
17031071500,5
17031071600,11.9
17031071700,3.3
17031071800,5
17031080100,7
17031080201,4.5
17031080202,4.9
17031080300,10
17031080400,44
17031081000,24.3
17031081100,20.6
17031081201,7.9
17031081202,3.3
17031081300,9.4
17031081401,10.6
17031081402,8
17031081403,6.2
17031081500,10.4
17031081600,12.4
17031081700,7.7
