GEOID,median_gross_rent_2016
17031010100,872
17031010201,1012
17031010202,951
17031010300,897
17031010400,977
17031010501,877
17031010502,916
17031010503,659
17031010600,958
17031010701,1041
17031010702,946
17031020100,1033
17031020200,970
17031020301,800
17031020302,1020
17031020400,1046
17031020500,955
17031020601,1010
17031020602,1003
17031020701,1226
17031020702,1110
17031020801,1041
17031020802,1068
17031020901,1105
17031020902,871
17031030101,880
17031030102,857
17031030103,898
17031030104,934
17031030200,971
17031030300,891
17031030400,858
17031030500,1267
17031030601,889
17031030603,771
17031030604,952
17031030701,791
17031030702,1057
17031030703,772
17031030706,956
17031030800,1272
17031030900,1252
17031031000,1185
17031031100,1006
17031031200,658
17031031300,836
17031031400,1154
17031031501,655
17031031502,720
17031031700,880
17031031800,1006
17031031900,1102
17031032100,979
17031040100,1040
17031040201,1133
17031040202,1012
17031040300,1163
17031040401,1108
17031040402,1112
17031040600,1201
17031040700,1214
17031040800,1284
17031040900,1097
17031050100,1446
17031050200,1222
17031050300,1257
17031050500,1513
17031050600,1458
17031050700,1623
17031050800,1524
17031050900,1447
17031051000,1392
17031051100,1190
17031051200,1410
17031051300,1858
17031051400,1389
17031060100,1249
17031060200,1161
17031060300,1318
17031060400,1451
17031060500,518
17031060800,1395
17031060900,1152
17031061000,1910
17031061100,1801
17031061200,1708
17031061500,1701
17031061800,1239
17031061901,1305
17031061902,1223
17031062000,1277
17031062100,1467
17031062200,1751
17031062300,1757
17031062400,1716
17031062500,1733
17031062600,1458
17031062700,1438
17031062800,1826
17031062900,1551
17031063000,1247
17031063100,1404
17031063200,1223
17031063301,1050
17031063302,1292
17031063303,2771
17031063400,1383
17031070101,1217
17031070102,1119
17031070103,1241
17031070200,1317
17031070300,1707
17031070400,850
17031070500,1569
17031070600,1998
17031070700,1526
17031071000,1800
17031071100,1583
17031071200,1642
17031071300,1333
17031071400,1351
17031071500,1582
17031071600,1603
17031071700,1794
17031071800,1319
17031080100,1668
17031080201,1300
17031080202,1342
17031080300,1761
17031080400,601
17031081000,1082
17031081100,1392
17031081201,1793
17031081202,1368
17031081300,1502
17031081401,1759
17031081402,1944
17031081403,1837
17031081500,1917
17031081600,1958
17031081700,1902
17031081800,2006
17031081900,1348
17031090100,910
17031090200,1076
17031090300,1250
17031100100,1087
17031100200,1077
17031100300,1320
17031100400,944
17031100500,907
17031100600,1009
17031100700,1585
17031110100,940
17031110200,1010
17031110300,1011
17031110400,1113
17031110501,983
17031110502,996
17031120100,-
17031120200,1184
17031120300,1093
17031120400,1230
17031130100,399
17031130200,1083
17031130300,1047
17031140100,1030
17031140200,946
17031140301,929
17031140302,939
17031140400,867
17031140500,1001
17031140601,928
17031140602,1003
17031140701,1088
17031140702,921
17031140800,1028
17031150200,961
17031150300,1098
17031150401,990
17031150402,1037
17031150501,1001
17031150502,1006
17031150600,962
17031150700,1029
17031150800,949
17031151001,925
17031151002,894
17031151100,1003
17031151200,851
17031160100,1120
17031160200,849
17031160300,858
17031160400,974
17031160501,1006
17031160502,1087
17031160601,979
17031160602,967
17031160700,1239
17031160800,1137
17031160900,924
17031161000,1015
17031161100,1250
17031161200,992
17031161300,909
17031170100,1537
17031170200,932
17031170300,1021
17031170400,1161
17031170500,1093
17031170600,959
17031170700,1021
17031170800,933
17031170900,815
17031171000,949
17031171100,939
17031180100,1032
17031190100,880
17031190200,957
17031190300,797
17031190401,951
17031190402,965
17031190601,1086
17031190602,954
17031190701,917
17031190702,909
17031190800,927
17031190900,869
17031191000,966
17031191100,830
17031191200,921
17031191301,900
17031191302,1005
17031200100,960
17031200200,951
17031200300,941
17031200401,927
17031200402,851
17031210100,1125
17031210400,976
17031210501,900
17031210502,950
17031210601,951
17031210602,967
17031210700,1021
17031210800,1004
17031210900,1068
17031220300,1242
17031220400,1418
17031220500,1429
17031220601,1102
17031220602,933
17031220701,985
17031220702,1016
17031220901,833
17031220902,1054
17031221000,1004
17031221100,1005
17031221200,1171
17031221300,1098
17031221400,1131
17031221500,905
17031221600,1396
17031222200,1607
17031222500,1086
17031222600,1131
17031222700,1112
17031222800,957
17031222900,928
17031230100,935
17031230200,954
17031230300,835
17031230400,1070
17031230500,800
17031230600,893
17031230700,949
17031230800,963
17031230900,972
17031231100,850
17031231200,948
17031231500,985
17031240200,1016
17031240300,1474
17031240500,1725
17031240600,1394
17031240700,1005
17031240800,949
17031240900,995
17031241000,954
17031241100,1216
17031241200,1386
17031241300,1847
17031241400,1802
17031241500,1537
17031241600,1467
17031242000,962
17031242100,1564
17031242200,1432
17031242300,1327
17031242400,1280
17031242500,1082
17031242600,1015
17031242700,996
17031242800,1254
17031242900,1183
17031243000,1216
17031243100,1188
17031243200,1311
17031243300,1303
17031243400,1257
17031243500,1831
17031250200,960
17031250300,960
17031250400,975
17031250500,744
17031250600,979
17031250700,919
17031250800,984
17031251000,900
17031251100,859
17031251200,1029
17031251300,1008
17031251400,749
17031251500,899
17031251600,914
17031251700,1079
17031251800,896
17031251900,799
17031252000,798
17031252101,700
17031252102,894
17031252201,877
17031252202,892
17031260100,507
17031260200,984
17031260300,788
17031260400,896
17031260500,1081
17031260600,956
17031260700,932
17031260800,1009
17031260900,733
17031261000,1010
17031270500,854
17031271200,1003
17031271300,757
17031271400,901
17031271500,1036
17031271800,635
17031280100,2089
17031280400,992
17031280800,478
17031280900,466
17031281900,1700
17031282700,1229
17031282800,1173
17031283100,1407
17031283200,1381
17031283800,1234
17031290900,783
17031291200,977
17031291600,910
17031292200,946
17031292400,953
17031292500,955
17031300500,793
17031300600,828
17031300700,760
17031300800,764
17031300900,719
17031301100,707
17031301200,747
17031301600,650
17031301701,740
17031301702,806
17031301801,829
17031301802,744
17031301803,776
17031310200,1234
17031310300,939
17031310400,843
17031310500,795
17031310600,752
17031310700,796
17031310800,805
17031310900,876
17031320100,2080
17031320400,2215
17031320600,1856
17031330100,1738
17031330200,692
17031340300,687
17031340400,838
17031340500,598
17031340600,304
