GEOID,perc_college_grad_2018
17031010100,29
17031010201,19.4
17031010202,21.1
17031010300,19.7
17031010400,41.1
17031010501,31.1
17031010502,34.3
17031010503,17.5
17031010600,31.7
17031010701,25.2
17031010702,27.2
17031020100,31.3
17031020200,25.3
17031020301,36.6
17031020302,31.8
17031020400,27.7
17031020500,22.4
17031020601,24.4
17031020602,26.6
17031020701,24.9
17031020702,22.4
17031020801,16.6
17031020802,20.8
17031020901,23.5
17031020902,17.2
17031030101,30.8
17031030102,39.6
17031030103,38.9
17031030104,31
17031030200,28.8
17031030300,25.6
17031030400,36.3
17031030500,30.1
17031030601,25.8
17031030603,25.5
17031030604,33.3
17031030701,30.8
17031030702,42.5
17031030703,30.4
17031030706,35.2
17031030800,32.1
17031030900,36.6
17031031000,36.5
17031031100,42.7
17031031200,29.2
17031031300,30.3
17031031400,40.7
17031031501,23.4
17031031502,31.9
17031031700,32.7
17031031800,41.5
17031031900,46.6
17031032100,38.5
17031040100,35.7
17031040201,41.1
17031040202,26.7
17031040300,29.7
17031040401,42.5
17031040402,38.9
17031040600,47.2
17031040700,45.3
17031040800,34.8
17031040900,48.2
17031050100,39.8
17031050200,42.8
17031050300,38.4
17031050500,46.9
17031050600,52.7
17031050700,41
17031050800,47.6
17031050900,40.7
17031051000,41.6
17031051100,42
17031051200,51.2
17031051300,46.1
17031051400,47.4
17031060100,41.6
17031060200,46.2
17031060300,49.3
17031060400,52.7
17031060500,27.5
17031060800,48.4
17031060900,41.1
17031061000,54.2
17031061100,54.4
17031061200,56
17031061500,50.6
17031061800,50.9
17031061901,45.1
17031061902,42.1
17031062000,58.3
17031062100,53.6
17031062200,54.6
17031062300,49.4
17031062400,45.6
17031062500,47.7
17031062600,48.3
17031062700,45.2
17031062800,52.7
17031062900,53
17031063000,49.7
17031063100,45.6
17031063200,40.9
17031063301,44.9
17031063302,48.9
17031063303,38.9
17031063400,54.9
17031070101,44.3
17031070102,48.7
17031070103,49.3
17031070200,41.3
17031070300,57.9
17031070400,39.3
17031070500,40.1
17031070600,48.9
17031070700,47.1
17031071000,61.5
17031071100,64.3
17031071200,51
17031071300,46.7
17031071400,42.1
17031071500,51.2
17031071600,36.6
17031071700,45.3
17031071800,47.7
17031080100,43.7
17031080201,43.6
17031080202,44.1
17031080300,46
17031080400,33.7
17031081000,36
17031081100,43.8
17031081201,46.1
17031081202,38.8
17031081300,33.1
17031081401,31.9
17031081402,36.7
17031081403,39.1
17031081500,38.3
17031081600,42.3
17031081700,45.9
17031081800,53.2
17031081900,38.1
17031090100,31.9
17031090200,26.8
17031090300,34.5
17031100100,26.3
17031100200,22.2
17031100300,25.8
17031100400,28.4
17031100500,25.9
17031100600,28
17031100700,25.3
17031110100,25.7
17031110200,15.3
17031110300,22.5
17031110400,23.9
17031110501,27
17031110502,28
17031120100,34.9
17031120200,28.9
17031120300,36.2
17031120400,23.8
17031130100,31.2
17031130200,34
17031130300,28.1
17031140100,23.6
17031140200,19.6
17031140301,23.6
17031140302,19.3
17031140400,24.7
17031140500,22.9
17031140601,14.6
17031140602,20.6
17031140701,23.2
17031140702,22
17031140800,32.8
17031150200,27.1
17031150300,21.9
17031150401,19.9
17031150402,22.5
17031150501,18.8
17031150502,21.1
17031150600,17.7
17031150700,16.2
17031150800,16
17031151001,16.7
17031151002,15.2
17031151100,15.7
17031151200,17.5
17031160100,26.2
17031160200,23.4
17031160300,30.4
17031160400,24.8
17031160501,24
17031160502,19.1
17031160601,30.8
17031160602,29.5
17031160700,26.6
17031160800,23.6
17031160900,31.1
17031161000,34.6
17031161100,37.1
17031161200,22.4
17031161300,17
17031170100,13.8
17031170200,16.8
17031170300,20.5
17031170400,20.3
17031170500,20.6
17031170600,15.4
17031170700,23.4
17031170800,14.2
17031170900,13
17031171000,13.2
17031171100,21.9
17031180100,9.3
17031190100,9.1
17031190200,11.8
17031190300,12
17031190401,15.5
17031190402,11.8
17031190601,6.7
17031190602,10.5
17031190701,7.4
17031190702,6.6
17031190800,8.5
17031190900,7.6
17031191000,8.6
17031191100,6.3
17031191200,4
17031191301,10.8
17031191302,6.5
17031200100,16.2
17031200200,7
17031200300,6.4
17031200401,8.3
17031200402,12.9
17031210100,34.7
17031210400,15.7
17031210501,16.8
17031210502,16.8
17031210601,28.6
17031210602,20
17031210700,24.5
17031210800,24.1
17031210900,41.9
17031220300,40.8
17031220400,39
17031220500,47.4
17031220601,31.9
17031220602,33.5
17031220701,23.6
17031220702,25.6
17031220901,17.4
17031220902,14.9
17031221000,27
17031221100,30.1
17031221200,38.1
17031221300,31.9
17031221400,38.4
17031221500,38
17031221600,44.4
17031222200,47.8
17031222500,31.5
17031222600,40.6
17031222700,25.3
17031222800,23.2
17031222900,9.9
17031230100,26.4
17031230200,12.7
17031230300,10.3
17031230400,12.6
17031230500,10.1
17031230600,8.6
17031230700,7.9
17031230800,6.7
17031230900,20.8
17031231100,10.7
17031231200,8.4
17031231500,6.7
17031240200,49.4
17031240300,49.2
17031240500,50.7
17031240600,39.4
17031240700,30.8
17031240800,28.6
17031240900,17.6
17031241000,31.6
17031241100,46.7
17031241200,42.9
17031241300,39.2
17031241400,51.1
17031241500,47.6
17031241600,48
17031242000,47.5
17031242100,51.8
17031242200,44.2
17031242300,50.6
17031242400,35.5
17031242500,37.7
17031242600,40.7
17031242700,27.6
17031242800,31.5
17031242900,43.4
17031243000,29.5
17031243100,45.2
17031243200,51.2
17031243300,42.3
17031243400,31.3
17031243500,46.3
17031250200,9
17031250300,16.1
17031250400,10.7
17031250500,22
17031250600,8.8
17031250700,8.3
17031250800,4.6
17031251000,4.2
17031251100,4.6
17031251200,7.3
17031251300,6.6
17031251400,10.8
17031251500,4.5
17031251600,6.3
17031251700,9.1
17031251800,5
17031251900,6.2
17031252000,7.7
17031252101,11.5
17031252102,6
17031252201,9.3
17031252202,7.1
17031260100,5.1
17031260200,4.6
17031260300,6.9
17031260400,3.2
17031260500,1.4
17031260600,2.6
17031260700,1.7
17031260800,3.8
17031260900,2.2
17031261000,6.2
17031270500,7.6
17031271200,9
17031271300,5.9
17031271400,14.3
17031271500,9.9
17031271800,0
17031280100,48.9
17031280400,11.8
17031280800,12.1
17031280900,17.1
17031281900,44.1
17031282700,25.6
17031282800,33.5
17031283100,33
17031283200,35
17031283800,32.8
17031290900,6.7
17031291200,14.2
17031291600,9.9
17031292200,11.9
17031292400,7.1
17031292500,11
17031300500,7.8
17031300600,12.7
17031300700,8
17031300800,4.4
17031300900,4.7
17031301100,9.4
17031301200,7
17031301600,9.3
17031301701,6.1
17031301702,4.4
17031301801,7.1
17031301802,8
17031301803,4.4
17031310200,32.3
17031310300,22.4
17031310400,28.1
17031310500,18.6
17031310600,21.1
17031310700,13.9
17031310800,18.6
17031310900,18.3
17031320100,40.6
17031320400,30.3
17031320600,33.6
17031330100,32.8
17031330200,32.4
17031340300,11.6
17031340400,15.5
17031340500,13.6
17031340600,5.4
17031350100,32.4
17031350400,4.1
17031351000,33.4
17031351100,11.6
17031351400,16.1
17031351500,20.6
17031360200,10.3
17031380100,16.3
17031380200,21.9
17031380500,8.1
17031380700,4.7
17031381200,17.5
17031381400,14.6
17031381500,26.1
17031381700,-
17031381800,22.7
17031381900,17.4
17031390100,27.6
17031390200,28.3
17031390300,23.2
17031390400,19.6
17031390500,26.1
17031390600,25.7
17031390700,30
17031400300,14.1
17031400400,14.1
17031400500,12
17031400800,12.7
17031410100,30.1
17031410200,19.4
17031410500,25.7
17031410600,28.8
17031410700,22.9
17031410800,25.7
17031410900,33.8
17031411000,21.7
17031411100,16.6
17031411200,14
17031420100,8.2
17031420200,25.7
17031420300,26.6
17031420400,21.2
17031420500,13.3
17031420600,10.1
17031420700,5
17031420800,13.7
17031421200,10.6
17031430101,12
17031430102,18.6
17031430200,11.1
17031430300,13.6
17031430400,9.3
17031430500,2.3
17031430600,16.6
17031430700,12.8
17031430800,20.8
17031430900,20.6
17031431200,23.7
17031431301,11.6
17031431302,9.2
17031431400,11.5
17031440101,3.4
17031440102,8
17031440201,9.9
17031440202,21.3
17031440300,16.5
17031440600,16.8
17031440700,20.2
17031440800,11
17031440900,10.7
17031450300,13.7
17031460100,12.6
17031460200,7.6
17031460301,9.8
17031460302,6
17031460400,12.2
17031460500,16.2
17031460600,10.2
17031460700,4.6
17031461000,5.5
17031470100,6.2
17031480100,17.6
17031480200,18.4
17031480300,22.3
17031480400,18.5
17031480500,14.4
17031490300,20.5
17031490400,23.3
17031490500,24.2
17031490600,11.5
17031490700,8.3
17031490800,12.8
17031490901,8
17031490902,16.8
17031491000,5
17031491100,15.2
17031491200,11.3
17031491300,8.3
17031491400,8.8
17031500100,11.9
17031500200,12
17031500300,26.2
17031510100,5.5
17031510200,11
17031510300,8.6
17031520100,9.2
17031520200,2.6
17031520300,6.8
17031520400,11.5
17031520500,13.6
17031520600,7.5
17031530100,5.7
17031530200,8.5
17031530300,9.6
17031530400,13.3
17031530501,12.6
17031530502,5.9
17031530503,12.8
17031530600,4.9
17031540101,0.7
17031540102,4.1
17031550100,8.3
17031550200,14.7
17031560100,12.3
17031560200,8.4
17031560300,10.6
17031560400,10.4
17031560700,11.4
17031560800,13.1
17031560900,16.3
17031561000,21
17031561100,17.3
17031570100,8.6
17031570200,14.9
17031570300,9.9
17031570400,11.3
17031570500,9.6
17031580100,7
17031580200,6.9
17031580300,2.9
17031580400,9.8
17031580501,6.4
17031580502,7.2
17031580600,11
17031580700,8
17031580800,4.4
17031590500,9.9
17031590600,8.7
17031590700,16.4
17031600400,16
17031600600,9
17031600700,17.3
17031600900,21.8
17031610300,7.5
17031610400,7.3
17031610800,10.6
17031611000,8.2
17031611100,1.9
17031611200,3.2
17031611300,2.5
17031611400,2.8
17031611500,2.2
17031611600,1
17031611700,3.8
17031611800,1
17031611900,0.9
17031612000,4.1
17031612100,5.3
17031620100,9.6
17031620200,12.5
17031620300,9.7
17031620400,6.4
17031630100,3.7
17031630200,6.2
17031630300,10.5
17031630400,2.7
17031630500,4.5
17031630800,6
17031630900,2.8
17031640100,10.6
17031640300,12.8
17031640400,10.7
17031640500,15.7
17031640600,11.3
17031640700,8.5
17031640800,12.3
17031650100,3.3
17031650200,11.1
17031650301,11.8
17031650302,9.4
17031650400,7.7
17031650500,8
17031660301,3.3
17031660302,7.3
17031660400,9
17031660500,4
17031660600,4.9
17031660700,5.4
17031660800,5.6
17031660900,5.5
17031661000,10.2
17031661100,5.7
17031670100,7.7
17031670200,5.1
17031670300,9.9
17031670400,5.3
17031670500,5.3
17031670600,5.1
17031670700,1.9
17031670800,4.8
17031670900,18.4
17031671100,9.9
17031671200,2.8
17031671300,4.8
17031671400,2.8
17031671500,2.2
