PERMIT#,PERMIT_TYPE,REVIEW_TYPE,ISSUE_DATE,STREET_NUMBER,STREET DIRECTION,STREET_NAME,SUFFIX,COMMUNITY_AREA,CENSUS_TRACT,WARD
100673532,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,10/5/16,150,N,RIVERSIDE,PLZ,28,2801,42
100682045,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,12/6/16,2324,N,FREMONT,ST,7,711,43
100643465,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,4/6/16,3960,W,26TH,ST,30,300500,22
100630781,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,1/12/16,2454,N,ASHLAND,AVE,7,70700,32
100682081,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,12/6/16,2233,N,KENMORE,AVE,7,71000,43
100647710,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,5/2/16,10000,W,OHARE,ST,76,980000,41
100674054,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,10/9/16,150,N,RIVERSIDE,PLZ,28,2801,42
100659076,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,7/11/16,6600,S,COTTAGE GROVE,AVE,42,420700,20
100639025,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,3/10/16,1640,W,WRIGHTWOOD,AVE,7,70700,32
100633656,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,2/2/16,10000,W,OHARE,ST,76,980000,41
100594323,PERMIT - NEW CONSTRUCTION,STANDARD PLAN REVIEW,5/10/16,1832,W,JUNEWAY,TER,1,10100,49
100630471,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,1/11/16,6533,W,PALMER,ST,19,1914,29
100641764,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,4/7/16,2134,W,SHAKESPEARE,AVE,22,832200,32
100616297,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,9/12/16,6638,S,LAFLIN,ST,67,671600,16
100643293,PERMIT - RENOVATION/ALTERATION,SELF CERT,5/11/16,150,N,RIVERSIDE,PLZ,28,2801,42
100633482,PERMIT - RENOVATION/ALTERATION,SELF CERT,3/10/16,6315,S,COTTAGE GROVE,AVE,42,420800,20
100649508,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,5/11/16,2119,W,WARREN,BLVD,28,837800,27
100630581,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,3/10/16,10032,S,CALUMET,AVE,49,490800,9
100630461,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,1/11/16,6525,W,PALMER,ST,19,1914,29
100630468,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,1/11/16,6547,W,PALMER,ST,19,1914,29
100641877,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,4/1/16,6821,S,BENNETT,AVE,43,430200,5
100630458,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,1/11/16,6555,W,PALMER,ST,19,1914,29
100638330,PERMIT - RENOVATION/ALTERATION,SELF CERT,6/2/16,150,N,RIVERSIDE,PLZ,28,2801,42
100636920,PERMIT - SIGNS,SIGN PERMIT,8/11/16,2454,N,ASHLAND,AVE,7,70700,32
100635309,PERMIT - NEW CONSTRUCTION,STANDARD PLAN REVIEW,3/8/16,150,N,RIVERSIDE,PLZ,28,2801,42
100673880,PERMIT - RENOVATION/ALTERATION,SELF CERT,11/10/16,150,N,RIVERSIDE,PLZ,28,2801,42
100653430,PERMIT - NEW CONSTRUCTION,STANDARD PLAN REVIEW,6/10/16,5200,N,CLARK,ST,77,30900,40
100673179,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,10/4/16,3150,N,LAKE SHORE,DR,6,63200,44
100677970,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,11/2/16,150,N,RIVERSIDE,PLZ,28,2801,42
100675103,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,12/2/16,6638,S,LAFLIN,ST,67,671600,16
100678568,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,11/7/16,1723,W,BELMONT,AVE,6,62600,32
100678006,PERMIT - RENOVATION/ALTERATION,SELF CERT,11/10/16,150,N,RIVERSIDE,PLZ,28,2801,42
100678002,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,11/2/16,10000,W,OHARE,ST,76,980000,41
100663426,PERMIT - RENOVATION/ALTERATION,SELF CERT,9/1/16,150,N,RIVERSIDE,PLZ,28,2801,42
100653719,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,6/6/16,4001,N,RAVENSWOOD,AVE,6,60200,47
100664059,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,8/9/16,3960,W,26TH,ST,30,300500,22
100659035,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,7/10/16,4001,N,RAVENSWOOD,AVE,6,60200,47
100668764,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,9/8/16,150,N,RIVERSIDE,PLZ,28,2801,42
100659148,PERMIT - SIGNS,SIGN PERMIT,10/6/16,10000,W,OHARE,ST,76,980000,41
100660260,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,8/5/16,4001,N,RAVENSWOOD,AVE,6,60200,47
100659144,PERMIT - SIGNS,SIGN PERMIT,10/7/16,10000,W,OHARE,ST,76,980000,41
100663775,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,8/8/16,150,N,RIVERSIDE,PLZ,28,2801,42
100678004,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,11/2/16,150,N,RIVERSIDE,PLZ,28,2801,42
100547949,PERMIT - NEW CONSTRUCTION,STANDARD PLAN REVIEW,4/5/16,4627,N,BEACON,ST,3,31700,46
100595792,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,1/4/16,1421,W,EDGEWATER,AVE,77,30500,48
100602529,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,12/8/16,2238,W,CHARLESTON,ST,22,221600,32
100606926,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,1/6/16,1653,N,DAMEN,AVE,24,240300,2
100609689,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,2/1/16,3815,N,HAMILTON,AVE,5,50500,47
100626708,PERMIT - RENOVATION/ALTERATION,SELF CERT,1/7/16,831,S,CLAREMONT,AVE,28,282800,28
100620980,PERMIT - NEW CONSTRUCTION,SELF CERT,3/3/16,1622,W,ERIE,ST,24,243200,1
100629398,PERMIT - RENOVATION/ALTERATION,SELF CERT,4/8/16,1855,N,DAYTON,ST,7,832600,43
100634402,PERMIT - NEW CONSTRUCTION,STANDARD PLAN REVIEW,8/9/16,3627,N,WESTERN,AVE,5,50500,47
100635352,PERMIT - NEW CONSTRUCTION,STANDARD PLAN REVIEW,8/12/16,3621,N,WESTERN,AVE,5,50500,47
100637628,PERMIT - NEW CONSTRUCTION,SELF CERT,3/10/16,2141,N,KENMORE,AVE,7,71000,43
100638297,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,9/12/16,2929,N,CAMPBELL,AVE,21,210900,33
100641472,PERMIT - RENOVATION/ALTERATION,SELF CERT,5/9/16,3456,N,HAMLIN,AVE,21,831100,30
100643977,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,4/8/16,111,E,CHESTNUT,ST,8,81201,42
100648847,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,7/8/16,1525,N,WELLS,ST,8,80300,27
100644663,PERMIT - NEW CONSTRUCTION,STANDARD PLAN REVIEW,6/6/16,3848,N,PAULINA,ST,6,60300,47
100655667,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,9/8/16,5255,N,LAKEWOOD,AVE,77,30800,48
100655894,PERMIT - NEW CONSTRUCTION,SELF CERT,8/5/16,2135,N,KENMORE,AVE,7,71000,43
100651541,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,8/4/16,5600,W,DIVISION,ST,25,250600,29
100659722,PERMIT - NEW CONSTRUCTION,SELF CERT,9/8/16,1832,N,HONORE,ST,22,831000,32
100656127,PERMIT - NEW CONSTRUCTION,STANDARD PLAN REVIEW,8/10/16,4115,N,LINCOLN,AVE,5,50200,47
100664460,PERMIT - NEW CONSTRUCTION,STANDARD PLAN REVIEW,9/7/16,4805,N,CLAREMONT,AVE,4,40401,47
100675249,PERMIT - NEW CONSTRUCTION,SELF CERT,11/4/16,1815,N,HOWE,ST,7,71800,43
100678574,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,11/7/16,1827,W,MELROSE,ST,5,51200,47
100643424,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,4/6/16,4953,W,47TH,ST,56,560300,22
100650414,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,9/12/16,1350,N,LAKE SHORE,DR,8,80100,43
100650419,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,9/12/16,1360,N,LAKE SHORE,DR,8,80100,43
100654160,PERMIT - NEW CONSTRUCTION,STANDARD PLAN REVIEW,9/1/16,2828,W,FLETCHER,ST,21,210800,33
100658596,PERMIT - NEW CONSTRUCTION,STANDARD PLAN REVIEW,9/1/16,1921,N,HAMLIN,AVE,22,222900,26
100672992,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,10/3/16,1859,S,PULASKI,RD,29,292400,24
100676769,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,11/10/16,805,W,58TH,ST,68,834700,16
100633554,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,2/1/16,3045,N,PULASKI,RD,21,210501,30
100637553,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,3/2/16,1353,W,107TH,PL,75,750100,34
100642736,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,4/1/16,1275,W,EARLY,AVE,77,30500,48
100648407,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,5/4/16,6147,N,NEWBURG,AVE,10,100200,41
100648749,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,5/6/16,2027,W,22ND,PL,31,843200,25
100654544,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,6/9/16,1116,W,MORSE,AVE,1,10400,49
100663305,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,8/4/16,842,E,40TH,ST,36,836400,4
100664430,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,8/11/16,6129,N,LEGETT,AVE,12,120200,39
100668335,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,9/7/16,353,W,BELDEN,AVE,7,71400,43
100668869,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,9/9/16,6956,N,MEDFORD,AVE,12,120100,41
100673374,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,10/5/16,1900,N,WOOD,ST,22,831000,32
100673864,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,10/7/16,1502,N,WOOD,ST,24,241500,2
100673991,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,10/7/16,330,N,JEFFERSON,ST,28,280100,42
100678470,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,11/7/16,1527,N,NORTH PARK,AVE,8,80300,27
100678480,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,11/7/16,340,E,RANDOLPH,ST,32,320100,42
100682360,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,12/6/16,1709,N,ROCKWELL,ST,24,240600,1
100591451,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,3/1/16,1111,N,ASHLAND,AVE,24,242000,2
100642999,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,5/2/16,357,W,CHICAGO,AVE,8,81800,42
100650751,PERMIT - NEW CONSTRUCTION,STANDARD PLAN REVIEW,7/8/16,2031,N,BISSELL,ST,7,71100,43
100610714,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,4/11/16,2650,S,CALIFORNIA,AVE,30,843500,24
100676164,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,11/1/16,10510,W,ZEMKE,RD,76,980000,41
100631126,PERMIT - RENOVATION/ALTERATION,SELF CERT,4/1/16,3030,N,MOBILE,AVE,19,190401,36
100632022,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,5/4/16,800,W,DIVERSEY,PKWY,6,63000,44
100635701,PERMIT - RENOVATION/ALTERATION,SELF CERT,3/1/16,600,W,CHICAGO,AVE,8,842200,27
100640568,PERMIT - RENOVATION/ALTERATION,SELF CERT,4/5/16,7,E,HURON,ST,8,81500,42
100650664,PERMIT - RENOVATION/ALTERATION,SELF CERT,6/4/16,600,W,CHICAGO,AVE,8,842200,27
100652366,PERMIT - RENOVATION/ALTERATION,SELF CERT,6/6/16,7,E,HURON,ST,8,81500,42
100668406,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,11/1/16,1704,W,ESTES,AVE,1,10702,49
100612600,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,8/8/16,635,W,119TH,ST,53,530501,34
100618900,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,5/2/16,5658,S,WOOD,ST,67,670400,15
100620764,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,4/7/16,3250,W,EVERGREEN,AVE,23,230900,26
100632581,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,4/4/16,4347,W,GLADYS,AVE,26,260600,28
100633003,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,4/4/16,3342,W,BEACH,AVE,23,230900,26
100633506,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,3/2/16,445,N,SPRINGFIELD,AVE,23,231500,37
100633732,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,2/2/16,1725,W,85TH,ST,71,711200,21
100633800,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,2/3/16,6455,S,WESTERN,AVE,66,660700,16
100634018,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,2/4/16,11721,S,EGGLESTON,AVE,53,530200,34
100635096,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,2/12/16,4343,W,GLADYS,AVE,26,260600,28
100635098,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,2/12/16,1632,W,BRYN MAWR,AVE,77,30400,40
100635105,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,2/12/16,7337,S,SOUTH SHORE,DR,43,431400,7
100638386,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,3/7/16,2205,N,MELVINA,AVE,19,191301,36
100638566,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,3/9/16,6919,S,INDIANA,AVE,69,690400,6
100639172,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,3/11/16,11844,S,LA SALLE,ST,53,530200,34
100648675,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,5/5/16,3504,W,EVERGREEN,AVE,23,230800,26
100649448,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,8/3/16,5222,N,LORING,AVE,11,110501,45
100649455,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,9/6/16,4916,W,BERENICE,AVE,15,150800,45
100649824,PERMIT - EASY PERMIT PROCESS,EASY PERMIT WEB,5/12/16,3925,N,SOUTHPORT,AVE,6,60500,47
100651132,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,6/8/16,828,N,TRUMBULL,AVE,23,836600,27
100653529,PERMIT - EASY PERMIT PROCESS,EASY PERMIT WEB,6/6/16,1740,N,NAGLE,AVE,25,250500,29
100654346,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,6/9/16,3135,N,KEATING,AVE,19,190100,31
100654786,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,6/11/16,4814,N,ROCKWELL,ST,4,40201,40
