PERMIT#,PERMIT_TYPE,REVIEW_TYPE,ISSUE_DATE,STREET_NUMBER,STREET DIRECTION,STREET_NAME,SUFFIX,COMMUNITY_AREA,CENSUS_TRACT,WARD
100765670,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,6/7/18,2324,N,FREMONT,ST,7,711,43
100766522,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,6/7/18,150,N,RIVERSIDE,PLZ,28,2801,42
100765676,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,6/7/18,2233,N,KENMORE,AVE,7,71000,43
100692676,PERMIT - SIGNS,SIGN PERMIT,4/10/18,1123,N,STATE,ST,8,812,2
100742178,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,1/3/18,150,N,RIVERSIDE,PLZ,28,2801,42
100787730,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,10/11/18,1233,W,FOSTER,AVE,3,31100,47
100742027,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,1/2/18,150,N,RIVERSIDE,PLZ,28,2801,42
100750202,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,3/8/18,2324,N,FREMONT,ST,7,711,43
100742739,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,1/9/18,325,W,FULLERTON,PKWY,7,71400,43
100781740,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,9/6/18,150,N,RIVERSIDE,PLZ,28,2801,42
100730434,PERMIT - WRECKING/DEMOLITION,DEMOLITION PERMIT,6/6/18,5536,S,WINCHESTER,AVE,67,670400,15
100742452,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,1/5/18,325,W,FULLERTON,PKWY,7,71400,43
100746692,PERMIT - RENOVATION/ALTERATION,SELF CERT,3/9/18,150,N,RIVERSIDE,PLZ,28,2801,42
100742585,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,1/8/18,4001,N,RAVENSWOOD,AVE,6,60200,47
100756133,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,4/10/18,2229,S,WENTWORTH,AVE,34,841100,25
100740150,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,2/6/18,1419,W,49TH,PL,61,611200,20
100785682,PERMIT - RENOVATION/ALTERATION,SELF CERT,10/11/18,150,N,RIVERSIDE,PLZ,28,2801,42
100760914,PERMIT - RENOVATION/ALTERATION,SELF CERT,6/6/18,150,N,RIVERSIDE,PLZ,28,2801,42
100765397,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,6/4/18,150,N,RIVERSIDE,PLZ,28,2801,42
100765531,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,6/5/18,3941,N,PINE GROVE,AVE,6,60800,46
100791220,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,11/1/18,3922,S,WELLS,ST,37,835500,3
100796252,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,12/6/18,2324,N,FREMONT,ST,7,711,43
100754988,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,4/3/18,150,N,RIVERSIDE,PLZ,28,2801,42
100757768,PERMIT - RENOVATION/ALTERATION,SELF CERT,6/5/18,150,N,RIVERSIDE,PLZ,28,2801,42
100760913,PERMIT - RENOVATION/ALTERATION,SELF CERT,6/7/18,150,N,RIVERSIDE,PLZ,28,2801,42
100750660,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,3/8/18,6023,N,MASON,AVE,11,110100,39
100787475,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,10/10/18,6700,S,COTTAGE GROVE,AVE,42,421200,20
100787388,PERMIT - ELEVATOR EQUIPMENT,CONVEYANCE DEVICE PERMIT,10/10/18,10000,W,OHARE,ST,76,980000,41
100782634,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,9/12/18,4715,N,SHERIDAN,RD,3,31501,46
100796266,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,12/6/18,2233,N,KENMORE,AVE,7,71000,43
100756084,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,4/10/18,325,W,FULLERTON,PKWY,7,71400,43
100749719,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,3/1/18,1516,W,WRIGHTWOOD,AVE,7,70600,32
100765380,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,6/4/18,325,W,FULLERTON,PKWY,7,71400,43
100765135,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,6/1/18,150,N,RIVERSIDE,PLZ,28,2801,42
100759834,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,8/10/18,3150,N,LAKE SHORE,DR,6,63200,44
100764083,PERMIT - RENOVATION/ALTERATION,SELF CERT,10/10/18,1516,W,WRIGHTWOOD,AVE,7,70600,32
100750208,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,3/8/18,2233,N,KENMORE,AVE,7,71000,43
100786728,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,10/4/18,4994,N,ELSTON,AVE,14,140400,39
100781200,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,9/11/18,4102,N,LOWELL,AVE,16,160200,45
100755256,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,4/4/18,150,N,RIVERSIDE,PLZ,28,2801,42
100787121,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,10/10/18,6350,S,KOLIN,AVE,65,650301,13
100769942,PERMIT - RENOVATION/ALTERATION,SELF CERT,9/4/18,10544,S,CORLISS,AVE,50,500200,9
100747780,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,5/7/18,10850,S,TRUMBULL,AVE,74,740300,19
100764209,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,7/3/18,9326,S,RACINE,AVE,73,730201,21
100795671,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,12/3/18,6540,S,COTTAGE GROVE,AVE,42,420700,20
100758447,PERMIT - RENOVATION/ALTERATION,SELF CERT,6/11/18,150,N,RIVERSIDE,PLZ,28,2801,42
100795966,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,12/10/18,6600,S,COTTAGE GROVE,AVE,42,420700,20
100752284,PERMIT - RENOVATION/ALTERATION,SELF CERT,4/3/18,150,N,RIVERSIDE,PLZ,28,2801,42
100760558,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,5/6/18,3150,N,LAKE SHORE,DR,6,63200,44
100766697,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,6/8/18,150,N,RIVERSIDE,PLZ,28,2801,42
100794564,PERMIT - RENOVATION/ALTERATION,SELF CERT,12/10/18,10000,W,OHARE,ST,76,980000,41
100759331,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,8/10/18,9357,S,PHILLIPS,AVE,48,480500,7
100759556,PERMIT - NEW CONSTRUCTION,STANDARD PLAN REVIEW,6/1/18,5200,N,CLARK,ST,77,30900,40
100755665,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,4/6/18,325,W,FULLERTON,PKWY,7,71400,43
100796902,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,12/11/18,5043,N,WINCHESTER,AVE,4,40402,40
100796517,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,12/6/18,2431,S,CENTRAL PARK,AVE,30,300700,22
100782527,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,12/4/18,1712,N,LOTUS,AVE,25,250300,37
100608034,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,4/9/18,2017,N,MENDELL,ST,22,832300,2
100746394,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,2/6/18,5005,N,LOWELL,AVE,14,140400,39
100752140,PERMIT - WRECKING/DEMOLITION,DEMOLITION PERMIT,4/3/18,6342,W,BELMONT,AVE,17,171100,36
100688196,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,1/9/18,4712,N,MALDEN,ST,3,31700,46
100689445,PERMIT - NEW CONSTRUCTION,STANDARD PLAN REVIEW,1/5/18,443,W,ARLINGTON,PL,7,70101,43
100743408,PERMIT - RENOVATION/ALTERATION,SELF CERT,3/6/18,125,S,CLARK,ST,32,839100,42
